publishedAt,authorDisplayName,textDisplay,likeCount
2025-09-25T12:56:52Z,@RiyadiGedheng,Kak enak banget MBGnya makasih ya kak aku suka banget,1
2025-09-25T12:56:12Z,@YudiSopian-r6d,Awas kakak ada kotoran nya nanti ada aan ulet dan bilatung dan bau dll,0
2025-09-25T12:55:12Z,@PriYanto-m4h,Kak itu biasanya buatnya jam berapa,0
2025-09-25T12:53:57Z,@UliNunu,nah ini yang benar jangan yusahi ambulan,0
2025-09-25T12:51:43Z,@aryasaputra3536,❤🥰🤫🙏🤦🏼‍♀️,1
2025-09-25T12:49:02Z,@RifkaRifka-d1x,Semua nya hati hati soalnya ada MBG yg ada racun nya!😢,0
2025-09-25T12:47:13Z,@fuadharmaen9277,Sdn2sukakaria belum dapat,0
2025-09-25T12:24:05Z,@Nonok-os3lv,Bang pake apel,0
2025-09-25T12:23:43Z,@Yayayiyi-v6q,Aku belum dapet dari negeri agung tanah merang Lampung aku mi,0
2025-09-25T12:22:33Z,@nusaybahshohwatulislami3459,Pertama mbg enak tapi seterus nya 😅😅 aaa 😅,0
